employee_id,country,performance_score
ANON_67X57X48X48X48X48X69X65X54X54X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X54X54X55X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X65X54X54X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X54X57X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X55X48X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X55X52X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X57X52X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X57X56X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X57X56X53X,Luxembourg,2.0
ANON_67X57X48X48X48X48X69X67X48X54X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X67X49X48X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X67X49X51X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X67X53X49X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X67X53X50X48X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X67X53X52X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X67X54X56X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X68X48X55X56X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X68X49X49X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X68X50X49X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X68X53X48X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X68X53X51X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X68X55X51X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X68X55X55X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X68X57X53X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X69X48X52X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X48X57X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X48X57X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X48X57X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X49X49X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X49X53X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X69X49X54X48X,Luxembourg,5.0
ANON_67X57X48X48X48X48X69X69X49X56X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X50X50X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X50X54X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X50X57X54X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X69X51X51X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X51X51X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X51X51X56X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X69X52X49X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X52X52X50X,Luxembourg,2.0
